name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist,has_preview,artist_encoded,avg_danceability,avg_energy,music_cluster,music_genre_label
Let's Get Lost,Beck,0Z8ImgwAkYVob6mrpmua6p,https://p.scdn.co/mp3-preview/c8d16748981f15b5bd09d63b8f4a9f0437335cfd?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27333150bfeed90ba28217ff9e1,0.21902095055701595,0.6237335896985569,0.49117633591674353,-0.45938373623048934,-0.6906654640560264,-0.08941119753735266,-0.7220421162824203,-1.4841250275464337,-0.5575725218229681,0.6201715536880569,0.0766947177474339,0.23712685323838747,0.16491774233715026,-0.22992983649742624,0.41513657642079765,True,99,0.41959625212253643,0.35021415372299536,0,Energetic
"Ella y Yo (feat. Farruko, Tempo, Anuel Aa, Almighty & Bryant Myers)",Pepe Quintana,2rEkxxDFjrbiNjZZvzZf5q,https://p.scdn.co/mp3-preview/47b5e293e0d95f33940ab0daa521a5998e00174f?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273752783f79fcfb43798e47137,1.1588079102606423,0.15132085800197204,0.16100127452655755,2.705394772004541,0.23805325139455763,-0.37139085010420386,-0.45428035775210335,-0.6726867945090023,0.22876055961570613,1.4559443009804551,0.20829967605038424,-0.47286369176011656,-0.8823434213336034,3.222921017621032,-0.8604221385711913,True,741,1.3073761056205488,0.17981026702617814,1,Chill
Crystalised,The xx,1nmCmB3qdXrzxFhvLJuhuB,https://p.scdn.co/mp3-preview/7e4a05674ddbe7f080fefbbc3741aaa4a4065610?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273cd4b0b0947bdd7708d24349e,1.088761677239254,-0.6374396850985757,-0.8058180608939874,-0.5825811368448534,1.745312726627405,1.2535065613147478,-0.6657061027302497,-0.3254848582574091,1.4306164841399354,0.6131903845198116,-1.4463030117342337,1.7330701329362723,-0.9515140407880455,-0.5543399511952725,-1.0243211175773164,True,969,0.8509760308795329,-1.0418713484164046,3,Dance
Moog City 2,C418,1kKaRzjW8OiGLriIdpXHT1,https://p.scdn.co/mp3-preview/6d44546c28071d357e4a8b1c991c0db637a64f0e?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2734cf0b29eb06a92aa96acae64,-1.8998775983399798,-2.353732011235543,-3.181144105645326,-0.4988998835973608,2.1318728075599673,3.5440744135440085,-0.5536968522559346,-1.0432956028674447,2.1308299408345417,-1.0230474253781017,-2.4617113525265717,2.835695998621098,-0.9612361785454677,-0.19120504031535132,-1.7297533456944358,True,165,-1.4614625118590407,-2.4077216818810574,4,Experimental
Star Witness,Neko Case,17fWdcSAhLc6559youmLap,https://p.scdn.co/mp3-preview/7c081091db10a70b0395b57eb463da28451cb2a1?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e47e462498547a988b6ec067,-1.5846695497437324,-0.23251448650150308,0.35026877094666403,-0.5616608235329802,0.7740399182338246,-0.3713776193873679,-0.37474716214903897,-0.6102684688907387,0.5641978333677957,-1.3087735832357554,-0.08944288204616131,-0.4728359943704488,-0.41607650932700796,-0.7467274406993017,-0.794228188278436,True,688,-1.446721566489744,-0.1609786842738322,3,Dance
Cabin Sound,HI-FI CAMP,5jUXYkjrCkkhnMMJPTgSqN,https://p.scdn.co/mp3-preview/d1742a2e4ead6c7e7eb3582d99188c773acf5d57?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/d663d76d569bc13de990ad6dbc679ef686996a82,-3.365011305704018,-0.08066753702760064,-8.77250041521848,-0.9440376612888836,2.0571595146066146,1.2328335662585275,-0.4940469555536356,-1.948361324332272,2.373108428350525,-3.965757015486051,-0.06646275172327332,1.2345699261424499,-0.9515909825227004,-1.2037769577770248,-2.551470712456428,True,387,-3.6653841605950346,-0.07356514437543699,4,Experimental
Halaga,Parokya Ni Edgar,6pz4tdLoIDJdnpXnisSDCK,https://p.scdn.co/mp3-preview/394294b643e4a017d1a1244363aea94348916e68?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d37f9a6be4c926f806645401,-0.5106273100824454,-0.2746941946886982,-0.20444808980364831,-0.5209824365376713,-0.46360202155866426,-0.37138510301157823,0.5929067176882443,0.5600751364517109,0.8600303148503954,-0.07812233879393896,-0.9357111595890273,-0.46588713434246065,-0.6246435686227443,-0.5883088498235923,0.7124229526484117,True,727,-0.2943748244381922,-0.6052026771388628,3,Dance
Stabbing the Drama,Soilwork,4XFykLS5W3LCvEQ5QfU01P,https://p.scdn.co/mp3-preview/bf8bce1911f1ea5ba522d104ecc885252ada8ae2?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d652d405807445c8c56e1251,-0.6215338456996437,1.395622249524227,0.767681355736899,0.47389468540473983,-0.8921006228683678,-0.3710505726055785,0.3145405330775187,-1.2617597425313685,-1.1034785440544441,-1.0345404327770629,1.6395621407258933,-0.46324331546172043,-0.6855649349545816,0.6500790414740725,-1.199148993584901,True,882,-0.8280371392383532,1.5175921951250602,0,Energetic
The World Is Mine,Joachim Garraud,0TBaFEx7WENZgqLXWErD0b,https://p.scdn.co/mp3-preview/a38c2d0a5fca888d8917146df7e1103176ac538e?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273345e07f19046125c36c5a4e3,0.6159496043448833,1.243775300050325,0.7743189933869029,0.039217064369153586,-0.8919853045248964,-0.3205352822659008,-0.9043056895394429,-0.15383446280718305,-1.0204178037378944,1.2297485901429277,1.1125178474509676,-0.45471062131768425,-0.5588034271112052,-0.05715879854440747,0.682379567470895,True,460,0.9228490972439055,1.1781465737506465,5,Emotional
I Wanna Get High,Cypress Hill,2icouZbxwqoL63gHhO2vGd,https://p.scdn.co/mp3-preview/de1142f5294cac56d0addface42140c53e6662cc?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ff2dc734e252aa62bd49ec42,0.9194832807708995,-0.4645028815310758,-1.2719698707142502,2.1940093354920864,-0.6412897226259848,0.8813926503027744,-0.736623202142982,-0.6531810677532948,-0.901335242459359,1.383318385108398,-0.3123326355454728,0.5860362616033359,0.47979894079896085,2.825247795469733,0.28794906737754733,True,242,1.1514008329396488,-0.3884177585382743,1,Chill
HUNTING FOR YOUR DREAM (TVサイズ),GALNERYUS,2aZrppfOAxTAGoTAQPBCf4,https://p.scdn.co/mp3-preview/0e492453e192d46fca5d36823621e7c0bdc1ae7e?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273232107ce1f027b6c066c1cf3,-1.1118574768493614,1.235339358412886,0.824006452366931,-0.08281809661677296,-0.838792688346151,-0.37139085010420386,0.983944929403311,1.6484946894201888,-1.0722003202025536,-1.653663744399367,1.4846960450716498,-0.47284490118911543,0.20657447836496612,-0.25993164104804417,0.7582268021813442,True,355,-1.3827606106243642,1.3600177017422679,0,Energetic
Cheap Thrills,Sia,3S4px9f4lceWdKf0gWciFu,https://p.scdn.co/mp3-preview/88816b2040a092aa99d5b0e42945d79dc5027c1a?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,0.3007415557486357,0.26520607010739883,0.4761942395067351,0.27631394857038244,-0.7390666842736329,-0.36547837351812473,-0.6219628451485643,0.907277072703304,-1.101804165760274,-1.0485319200453636,1.444730601031845,-0.06609916994327078,-0.6515182173699429,-0.27825873457676353,-0.021793054784068202,True,865,-0.3738951821483639,0.8549683355696219,0,Energetic
God Put a Smile upon Your Face,Coldplay,4hf0hL4kWyjWztZzVsM39V,https://p.scdn.co/mp3-preview/30ee1c4f89cac425d2e1544725b5376859701b67?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ad6f442ecac8735b9285a923,0.20734657838678458,-0.3295278153320514,0.4479368677967189,-0.6081504086704761,-0.3239206477763099,-0.37107455327984373,-0.9851644384025585,-1.0042841493560295,-0.2689640736052696,-0.8702081581193782,-0.18113779196006793,0.09975843423979269,-0.11371038408325745,-0.7046706265668987,-1.3412758125627784,True,226,-0.3314307898662968,-0.25533280364605965,3,Dance
Turn Up Your Radio,Castella,14s2nL0CvuW43otDma4Ad5,https://p.scdn.co/mp3-preview/0a2e9175feb512a22746b96b32ef4576e6542780?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2733103ae9bf09528bc7dc78273,-0.9133931499554281,1.3914042787055076,0.5086238405967533,0.6017410445328535,-0.8912349231913214,-0.3669254831720602,1.0435948261056103,-1.047196748218586,-1.1015469078359026,-0.635783045630494,1.519665808606479,-0.4658667344084025,1.8240820951403165,0.13692042266996649,-0.18038272736046151,True,186,-0.7745880977929611,1.4555350436559933,0,Energetic
Tie Me Down,Taylor Ray Holbrook,3BGNdJigkDQsuz5zJuz1SD,https://p.scdn.co/mp3-preview/11fb9f05abd89b36757edbdfd715cf6f4d9b3b2b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273eeff3d6395de98911ddc7d50,-0.3471860996992059,-0.7977225762099169,0.5262609920667634,-0.5674720216751672,1.5374148679745985,-0.37139085010420386,-0.6173234087383855,0.12704800247500478,-0.17357270925566412,0.39608914040668025,0.19980701919192556,-0.47286369176011656,-0.2555375799702833,-0.2485124520032288,0.31917474125517736,True,912,0.024451520353737183,-0.2989577785089957,3,Dance
Controversia,Aventura,2SnqFQaxOxkLmUDpk7Z4mi,https://p.scdn.co/mp3-preview/f21a842bc1cae74c79ec1f983ac4fb3efa06cb20?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273c28a6d0f6ed7b540f8208543,1.0595757468136755,0.4381428736748993,0.18148312784656884,-0.10257617030020862,-0.20048129420120603,-0.37139085010420386,-0.779703683094642,1.5860763638019248,0.3739911717006792,1.6126339137754586,-0.1578353596691154,-0.4506558270406288,-0.006771300879190009,-0.4987674740436753,1.9385298842663832,True,80,1.336104830294567,0.14015375700289195,5,Emotional
El Recuento de los Daños,Gloria Trevi,65e7BhKBuKYl6UfCzYVRGT,https://p.scdn.co/mp3-preview/8aa9a6fe58d3feeac7124a57a0ff724f24f3783c?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273266bafb1a738d416cd4c819a,-0.5981851013591808,-1.3882384908306482,-0.40149110461375964,0.19263269532288993,1.7323191104616043,-0.37139085010420386,-0.45428035775210335,0.6380980434745406,0.18912841597033994,1.2818579113152533,-0.5531573178426263,-0.45450255520822047,-0.3743948042266478,-0.07736559397350778,0.5465971053319107,True,371,0.34183640497803625,-0.9706979043366373,3,Dance
